l	10	11
l	10	12
l	11	13
l	12	27
l	13	14
l	14	15
l	15	16
l	15	17
l	16	18
l	18	19
l	19	20
l	2	3
l	20	21
l	20	22
l	21	23
l	22	26
l	23	24
l	24	25
l	27	28
l	28	29
l	29	30
l	3	4
l	30	31
l	31	32
l	32	33
l	34	35
l	35	36
l	36	37
l	37	38
l	38	39
l	39	40
l	4	5
l	40	41
l	5	6
l	6	7
l	6	8
l	7	9
l	8	34
l	9	10
m	10	Glc	116,485	116,491	111,496	105,496	98,496	94,491	94,485	94,478	98,474	105,474	111,474	116,478	116,485	105,485	22
m	11	Glc	88,448	88,454	83,459	77,459	70,459	66,454	66,448	66,441	70,437	77,437	83,437	88,441	88,448	77,448	22
m	12	Glc	144,448	144,454	139,459	133,459	126,459	122,454	122,448	122,441	126,437	133,437	139,437	144,441	144,448	133,448	22
m	13	Glc	88,411	88,417	83,422	77,422	70,422	66,417	66,411	66,404	70,400	77,400	83,400	88,404	88,411	77,411	22
m	14	Glc	88,374	88,380	83,385	77,385	70,385	66,380	66,374	66,367	70,363	77,363	83,363	88,367	88,374	77,374	22
m	15	Glc	88,337	88,343	83,348	77,348	70,348	66,343	66,337	66,330	70,326	77,326	83,326	88,330	88,337	77,337	22
m	16	Glc	70,300	70,306	65,311	59,311	52,311	48,306	48,300	48,293	52,289	59,289	65,289	70,293	70,300	59,300	22
m	17	Glc	107,300	107,306	102,311	96,311	89,311	85,306	85,300	85,293	89,289	96,289	102,289	107,293	107,300	96,300	22
m	18	Glc	70,263	70,269	65,274	59,274	52,274	48,269	48,263	48,256	52,252	59,252	65,252	70,256	70,263	59,263	22
m	19	Glc	70,226	70,232	65,237	59,237	52,237	48,232	48,226	48,219	52,215	59,215	65,215	70,219	70,226	59,226	22
m	2	Glc	148,744	148,750	143,755	137,755	130,755	126,750	126,744	126,737	130,733	137,733	143,733	148,737	148,744	137,744	22
m	20	Glc	70,189	70,195	65,200	59,200	52,200	48,195	48,189	48,182	52,178	59,178	65,178	70,182	70,189	59,189	22
m	21	Glc	52,152	52,158	47,163	41,163	34,163	30,158	30,152	30,145	34,141	41,141	47,141	52,145	52,152	41,152	22
m	22	Glc	89,152	89,158	84,163	78,163	71,163	67,158	67,152	67,145	71,141	78,141	84,141	89,145	89,152	78,152	22
m	23	Glc	52,115	52,121	47,126	41,126	34,126	30,121	30,115	30,108	34,104	41,104	47,104	52,108	52,115	41,115	22
m	24	Glc	52,78	52,84	47,89	41,89	34,89	30,84	30,78	30,71	34,67	41,67	47,67	52,71	52,78	41,78	22
m	25	Glc	52,41	52,47	47,52	41,52	34,52	30,47	30,41	30,34	34,30	41,30	47,30	52,34	52,41	41,41	22
m	26	Glc	89,115	89,121	84,126	78,126	71,126	67,121	67,115	67,108	71,104	78,104	84,104	89,108	89,115	78,115	22
m	27	Glc	144,411	144,417	139,422	133,422	126,422	122,417	122,411	122,404	126,400	133,400	139,400	144,404	144,411	133,411	22
