l	2	3
l	3	4
l	3	5
l	4	6
l	5	8
l	5	9
l	6	7
l	9	10
l	9	11
m	10	Man	104,301	104,307	99,312	93,312	86,312	82,307	82,301	82,294	86,290	93,290	99,290	104,294	104,301	93,301	22
m	11	Man	52,301	52,307	47,312	41,312	34,312	30,307	30,301	30,294	34,290	41,290	47,290	52,294	52,301	41,301	22
m	2	GlcNAc	121,82	143,82	143,104	121,104	121,82	132,93	22
m	3	Man	143,145	143,151	138,156	132,156	125,156	121,151	121,145	121,138	125,134	132,134	138,134	143,138	143,145	132,145	22
m	4	Man	182,197	182,203	177,208	171,208	164,208	160,203	160,197	160,190	164,186	171,186	177,186	182,190	182,197	171,197	22
m	5	Man	104,197	104,203	99,208	93,208	86,208	82,203	82,197	82,190	86,186	93,186	99,186	104,190	104,197	93,197	22
m	6	Man	182,249	182,255	177,260	171,260	164,260	160,255	160,249	160,242	164,238	171,238	177,238	182,242	182,249	171,249	22
m	7	Man	182,301	182,307	177,312	171,312	164,312	160,307	160,301	160,294	164,290	171,290	177,290	182,294	182,301	171,301	22
m	8	Man	130,249	130,255	125,260	119,260	112,260	108,255	108,249	108,242	112,238	119,238	125,238	130,242	130,249	119,249	22
m	9	Man	78,249	78,255	73,260	67,260	60,260	56,255	56,249	56,242	60,238	67,238	73,238	78,242	78,249	67,249	22
